;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOA NOVA;Vereador;13113;VALMIR RODRIGUES DOS;VALMIR DO;PT / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;234;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;40123;LEONIO FAUSTINO DA LUZ;PROFESSOR LEONIO;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;230;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;31333;AILTON COSTA DA SILVA;AILTON DE;PHS / Alagoa Nova de Verdade 2;207;Eleito por 
;2016;1º Turno;ALAGOA NOVA;Vereador;70333;ADENOR GALDINO DA SILVA;ADENOR DO PÃO;PT do B / Alagoa Nova de Verdade 2;178;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;15333;EDIVANOR FERREIRA RAMOS;EDIVANOR;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;168;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;55555;JAMENSON DO REGO;GALEGO DA;PSD / Alagoa Nova de Verdade 2;154;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;55678;VANUSA GONÇALVES DE;NINA DE BOI VEI;PSD / Alagoa Nova de Verdade 2;154;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;31000;JOSÉ DE ASSIS GONÇALVES;BAIXINHO DO BOX;PHS / Alagoa Nova de Verdade 2;149;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;15658;ADÃO ERMIRO DA SILVA;ADÃO;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;145;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;40456;GIVONALDO RUFINO DA SILVA;TIO NAL;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;144;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;45123;EDIMILSON SOUTO SOBRAL;EDIMILSON SOBRAL;PSDB / Alagoa Nova de Verdade 1;139;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;40999;EDUARDO PEREIRA NEVES;EDUARDO DE EDER;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;128;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;70222;ADRIANAO BASILIO DA SILVA;CHOPA;PT do B / Alagoa Nova de Verdade 2;127;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;40852;EDILSON CORREIA;EDILSON DO;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;126;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;45444;ERALDO LUIS CORREIA;PROFESSOR ERALDO;PSDB / Alagoa Nova de Verdade 1;118;Suplente
